type,mean gyro x,mean gyro y,mean gyro z,mean acc x,mean acc y,mean acc z,median gyro x,median gyro y,median gyro z,median acc x,median acc y,median acc z,std gyro x,std gyro y,std gyro z,std acc x,std acc y,std acc z,var gyro x,var gyro y,var gyro z,var acc x,var acc y,var acc z,min gyro x,min gyro y,min gyro z,min acc x,min acc y,min acc z,max gyro x,max gyro y,max gyro z,max acc x,max acc y,max acc z,25 gyro x,25 gyro y,25 gyro z,25 acc x,25 acc y,25 acc z,75 gyro x,75 gyro y,75 gyro z,75 acc x,75 acc y,75 acc z,gyro x kurtosis,gyro y kurtosis,gyro z kurtosis,acc x kurtosis,acc y kurtosis,acc z kurtosis,gyro x skew,gyro y skew,gyro z skew,acc x skew,acc y skew,acc z skew
left,0.0009991584649981363,0.012891177828209728,-0.0008760390788690611,0.9035613116792464,0.010750970069081715,0.12632526628245477,-0.0028922412228508504,0.004963086372146852,-0.005414546865560525,0.9026251131514289,0.0061700696278418335,0.16434821671381886,0.4393895487974082,0.055589795506836716,0.04135852984605635,0.02622058005911899,0.050990222811069956,0.12045429473228131,0.19306317559238997,0.0030902253644919235,0.0017105279910271335,0.0006875188186366685,0.002600002822322559,0.014509237119451294,-1.0982187006596271,-0.17950877289017128,-0.13196621856160504,0.8027821421776248,-0.14830603295848996,-0.3044648800932218,1.0,0.24457814754069723,0.17032961509385405,1.0,0.09311195787071463,0.451200354684878,-0.03621619041343309,-0.008921892260212597,-0.021679807993146893,0.8923042371920268,-0.022941441046731483,0.10163787447436923,0.042134762443264785,0.030749475453842788,0.011445784210233205,0.9147408618910454,0.06254206872716583,0.1889163031090067,0.19548175591284256,3.3225671188809622,3.6153847772692256,2.1517971143742693,-0.4126287749110613,2.257116257617969,0.0037994802212757968,0.5851289453562217,0.8993589567868971,0.20734430517613983,-0.4522255302635571,-1.3308825141028784
left,-0.004956177638496721,0.005932588906290702,-0.008991492184560936,0.9555253698624869,0.0029829530840387117,0.060836701065027816,-0.017059022105769248,0.0028267075803495544,-0.004189154241616049,0.9554350813149468,0.005187455957417074,0.10681443419903101,0.513759882234104,0.07799059183394007,0.04314410335419427,0.021286386050712675,0.041187309012944914,0.1335062313967833,0.26394921659320036,0.00608253241460824,0.0018614136542373968,0.00045311023109997515,0.0016963944237278136,0.01782391382177145,-0.883675783312922,-0.24118059591028598,-0.1096941066740362,0.9004952022875893,-0.09455317399627289,-0.3364772564407009,1.0,0.18908853570218492,0.10326958495251758,1.0,0.07309596570644795,0.3305824182243759,-0.33704727513292615,-0.025177692262554868,-0.030673934579908045,0.9422305948720088,-0.024286724117964953,-0.0021221409067275422,0.140547138373768,0.04689564696546098,0.017519682198216546,0.9700541899282884,0.036665880263250086,0.13958971754140886,-0.5240949526218044,0.7167673475896152,0.015877019442126272,-0.4415719267534426,-0.7626269459856503,0.8840908177480329,0.31527078107528883,-0.40994031959567406,-0.25288902289031395,-0.19259737363666674,-0.4348280640760226,-1.1107643378190812
left,-0.0080648205469973,0.009406042852564488,-0.01562589257962748,0.9266240666592266,0.0026486623966581074,0.09302798994268191,0.006542405507857242,0.0018810856592247544,-0.009188947083109359,0.9272644250514658,0.009377858870906025,0.11024702466743659,0.5429557358287408,0.06729474602560581,0.055021632918080425,0.02209054799623655,0.02610455939986027,0.11008676752534956,0.2948009310693293,0.004528582842650788,0.0030273800889719913,0.0004879923107740306,0.0006814480214608332,0.012119096384180357,-0.8510782974589997,-0.15860463641275818,-0.18387457579327562,0.859332129036396,-0.08417200379510237,-0.195791400379656,1.0,0.24086818153466413,0.12664788558338397,1.0,0.04643183870960688,0.33691673624111396,-0.41677555817043116,-0.025313072837494746,-0.040803827794788486,0.9133119392667005,-0.013151875948866699,0.05455169259962326,0.11826618182060286,0.04314118983634913,0.012780718661147862,0.9411024364236535,0.0218435495729781,0.16811527514127772,-0.7483524049478345,1.1180621737953338,0.7943452228546697,0.03231688259652277,0.6080412813668765,0.5508471070914904,0.22780834356223048,0.49318493975462513,-0.3978547889661906,-0.02727259118467281,-0.965051524032399,-0.8440588595464273
left,0.0025086667298999084,-0.001096949913051934,0.00014238134646977707,0.8981804830385536,0.04557493891918813,0.08991064430171655,0.0034037284382609266,-0.000642899840549294,-0.00023967837955317245,0.8971599656390795,0.06079432121274253,0.13589971060999473,0.4653365024002741,0.04447023977545226,0.051134021983397705,0.026477471509484696,0.036647997229047456,0.1168411980500314,0.21653806046612029,0.001977602225686216,0.0026146882041986,0.0007010564975355739,0.00134307570090027,0.013651865561766662,-0.8294648393038757,-0.1378527634570839,-0.13033494633150333,0.8036388285471374,-0.06279121277787893,-0.2351896964962113,1.0,0.1297295684929123,0.13687778831912617,1.0,0.100066558817447,0.24362102503009228,-0.1712269987841285,-0.021617066067433174,-0.020012682682838328,0.8841247112286327,0.019636121909350976,0.04798091755942018,0.05389880387474042,0.0172821600254695,0.017177195553074093,0.9081428664855531,0.07388506523979292,0.1567006888091926,-0.10274130670394266,1.1952435463535158,0.7135812480736488,3.2933754931202377,-0.20782885766979708,0.9377388240205327,0.2980045211547415,0.04860609862519307,0.1334534075371812,0.5247757372556888,-0.8814551539635025,-1.3979548800700863
left,0.001075623102494794,-0.0010650864627147108,-0.0007483908802177172,0.9293938019237059,0.03602008733556822,0.12005615852137826,0.003783686210552659,4.8393574508010545e-06,-0.0032946809948695877,0.925993978137104,0.04826476651778317,0.14973569098084594,0.4769423407601597,0.07877313498500983,0.06505602373888851,0.022750152591422775,0.036227524665718436,0.09570898214344653,0.22747399640978028,0.00620520679536658,0.004232286224714825,0.0005175694429330204,0.0013124335434052375,0.009160209262934565,-0.8841232697441905,-0.28528680517755106,-0.1620717020981182,0.8841645512027707,-0.06504251601817361,-0.20064351908220146,1.0,0.18781800096970078,0.16654372102677367,1.0,0.08802574007669682,0.2721213517974501,-0.16029357409480363,-0.02321255515976855,-0.040165977932475797,0.9158239369507843,0.01919098968579754,0.10744655974305009,0.02976642664261905,0.01740348238250516,0.012318009135727564,0.9397839343142739,0.06188232249556691,0.17225924506546877,-0.1386767144179002,2.8989770457339135,0.47280842000217493,0.33963612566056156,0.033235679726949297,1.7067336982676213,0.30432116000270926,-0.6510936205712288,0.6069891579907277,0.6831715454579187,-0.9305446987319512,-1.4427337604777921
left,0.003212934501855874,-0.0016045965550899716,-0.005203932024863387,0.9472940563097677,0.010033261117243581,0.08302174587792654,0.0018348366666997634,-0.004572162825294475,0.000589091733075319,0.9461035718009708,0.028464769637433458,0.10569295799334259,0.47031425239483904,0.05696811123781907,0.057133456055508014,0.01911461935647062,0.04565427885262989,0.0980398713212064,0.22119549600571634,0.003245365698004528,0.0032642318008466657,0.00036536867314276123,0.0020843131775536887,0.00961181636867871,-0.8891037900913971,-0.15909160118361199,-0.1412898194186969,0.9059729700041133,-0.08749416956264029,-0.17732151310804062,1.0,0.17762565805707375,0.13592981408649513,1.0,0.08049463599762907,0.3429771330688188,-0.17970916696889125,-0.025930280725411276,-0.031230144983250406,0.9339710577972338,-0.02834811006704062,0.04351376564053447,0.0807291085199026,0.026593254788506274,0.022165148096868585,0.9610359038774047,0.0456136262908744,0.1429071387786745,-0.04285522084248994,1.1714381774825315,0.5258779059620289,-0.42485085899401653,-0.9930191816293039,0.5110105417819102,0.17926277792992074,0.08583622243675403,-0.19661016421102473,0.1854046906305798,-0.5258227842688286,-0.7569821308097598
left,-0.0002496617325454159,-0.0005444529465004176,-0.012933938350332276,0.9160052136266761,0.014927878005097477,0.11761358498093931,0.012793175565005295,-0.004875996249825504,-0.012763401020493066,0.9165722125841734,0.020176832027681727,0.13715711407199677,0.5016199941943875,0.07255114830957098,0.05309052595602925,0.022890557437438258,0.028824493244066707,0.10908478685149527,0.2516226185755774,0.005263669121037364,0.0028186039462878153,0.00052397761979666,0.0008308514107772474,0.011899490722436155,-1.2489767511738048,-0.21696073765419488,-0.17335231083781918,0.8245295988031242,-0.08410791776246045,-0.13625028489735208,1.0,0.2731038827914594,0.16515348572792923,1.0,0.1040580354417724,0.35683519767270916,-0.07897190412168074,-0.034894895018309315,-0.03424033550155259,0.9017230104231795,0.0003400589563549673,0.05826343302302549,0.08381349659562551,0.01733310740622755,0.004808637151226111,0.930628036572332,0.033325777458235215,0.1848787186102716,0.2681205374969493,3.5345771488110813,1.8562461089900246,1.7010758792087608,1.0355874039879622,-0.3388183475872224,-0.3350744878757257,0.8396940608119847,-0.07769948596300368,-0.3531736319526793,-0.7087419331066018,-0.45792371095816137
left,0.0023245226929752053,0.002367413609828944,-0.004794508445048949,0.9198259900185712,0.00424545202471967,0.12090788470696046,0.0015180614871292124,-0.0008227660836049729,-0.010003028572646667,0.9164583113946467,0.011479882056488944,0.12730166061558829,0.4632629513405926,0.06450585110765975,0.06230310468249722,0.02391417693311703,0.03227082095378249,0.07596903154182426,0.21461256208479626,0.004161004827123569,0.0038816768530782076,0.0005718878583884267,0.0010414058850310869,0.005771293753402689,-0.9217584655044617,-0.19179249434399231,-0.16608972449574333,0.8583769684944011,-0.0772902947536304,-0.06592407626848769,1.0,0.20835707294551314,0.17966596020055306,1.0,0.06433280466191846,0.27597182081153837,-0.13352058757937305,-0.038898459698696125,-0.04707362109970544,0.9038418650716218,-0.01909524937529637,0.08138213380442315,0.06891914215919016,0.028088748278298166,0.014947193072461545,0.9343032805848079,0.029836328475266786,0.16373039983024323,-0.030911007013179503,0.9111526544433608,0.9650926247597722,0.587027097784655,-0.6989643560759871,-0.13390484772940114,0.28353121100353795,0.611704874254651,0.7644101884431521,0.49770831367394214,-0.45341722791281885,-0.4143963806033911
left,0.0053190755115853266,0.004228807383127536,-0.0071503328450277645,0.9247997984458971,-0.012382025572309545,0.10232996158751986,0.001012628624951537,0.0014988548555825963,-0.006408954827305313,0.9250855376959475,-0.0015963513382231398,0.11607753970450607,0.43541886194321944,0.04922522706157493,0.05359636747777295,0.020156528627884338,0.039918075414254864,0.0923114519886779,0.18958958533592837,0.0024231229792636088,0.0028725706068124784,0.0004062856463267209,0.0015934527447781389,0.008521404168257987,-0.7860683016546569,-0.16537277662632868,-0.1295538665946062,0.8645381927277132,-0.12633980368046221,-0.15712657289940885,1.0,0.1541686364769129,0.1810179715941618,1.0,0.037172180249069646,0.2930444888671328,-0.22528248973044201,-0.018963008603104667,-0.04350192101815163,0.9124287655184825,-0.03397947615331575,0.0724059326059151,0.0344616999946476,0.014579497668448002,0.007886319513052317,0.9350057031186345,0.02098061677704263,0.15849487343818258,0.07789518940848117,2.6776893875893664,1.7945697301620362,1.395615727771634,0.018587668596425466,0.5453600691437264,0.5161000327719741,0.09453643534902123,0.8153622577960328,0.2716118018522561,-0.9438523928484797,-0.773378475850265
left,0.005217974986852067,-0.006311826131455764,-0.003034115097512143,0.946089316612707,-0.003748591994953795,0.10750991524211469,-0.004719854936854447,-0.007985976078082655,0.001981984610792762,0.9449112676413846,0.002567693804187714,0.13352007345945324,0.5612724768937584,0.08586839589951643,0.07553148572576389,0.0200809148402355,0.02112682876749498,0.08030676201936462,0.31502679331845457,0.00737338141435609,0.005705005335941274,0.00040324314082079043,0.00044634289377105355,0.006449176026034865,-1.2082289253275154,-0.2526497102282485,-0.2343409203045677,0.8881885533681423,-0.06909430573945678,-0.09337067903412648,1.0,0.3374624826243386,0.2125873953435766,1.0,0.04271708568716825,0.2910831066780806,-0.11975350480980729,-0.038742707080118455,-0.03711555579919633,0.9331232419748331,-0.01972455584426537,0.04785247256915903,0.39181609665962314,0.02450842285395763,0.03082727967653865,0.9570494455721035,0.012254901405313707,0.15662931515479642,-0.2312669668374805,3.7775253843472307,1.0914431314530684,0.15860010773350997,-0.16062929121439362,-0.19523669320497827,-0.334285071916215,0.6960257379582597,-0.16802780084501254,0.047933477770325764,-0.7422580821455403,-0.6970920237222191
