ACC_or_GYR,milisecond,x,y,z
ACC,20,9.80455493927002,1.2569942474365234,1.2306572198867798
ACC,34,9.80455493927002,1.2569942474365234,1.2306572198867798
ACC,39,9.80455493927002,1.2569942474365234,1.2306572198867798
ACC,49,9.59146499633789,1.283331274986267,1.441353440284729
ACC,60,9.414288520812988,1.0870007276535034,1.4078335762023926
ACC,69,9.42147159576416,1.1875603199005127,1.3527653217315674
ACC,79,9.385557174682617,1.1971373558044434,1.2761484384536743
ACC,89,9.313729286193848,1.1827718019485474,1.1851660013198853
ACC,99,9.380768775939941,1.2474172115325928,1.0271438360214233
ACC,109,9.548367500305176,1.2976969480514526,0.9337671995162964
ACC,125,9.639349937438965,1.3743137121200562,0.8260248303413391
ACC,129,9.665687561035156,1.4245935678482056,0.8332076072692871
ACC,140,9.653716087341309,1.3910737037658691,0.8619389533996582
ACC,158,9.622590065002441,1.333611011505127,0.9744698405265808
ACC,159,9.641744613647461,1.2857255935668945,1.0678465366363525
ACC,175,9.617801666259766,1.283331274986267,1.1085492372512817
ACC,192,9.7016019821167,1.252205729484558,1.0846065282821655
ACC,192,9.7016019821167,1.252205729484558,1.0846065282821655
ACC,208,9.708784103393555,1.2450228929519653,1.07024085521698
ACC,209,9.718361854553223,1.2258687019348145,1.0750293731689453
ACC,224,9.694418907165527,1.2019259929656982,1.0917893648147583
ACC,229,9.725543975830078,1.2019259929656982,1.1348862648010254
ACC,241,9.73272705078125,1.2162915468215942,1.209108829498291
ACC,258,9.737515449523926,1.2162915468215942,1.2569942474365234
ACC,259,9.73272705078125,1.2067145109176636,1.3096683025360107
ACC,274,9.71357250213623,1.2043201923370361,1.3168511390686035
ACC,279,9.68484115600586,1.2306572198867798,1.2929084300994873
GYR,279,-5.795334815979004,-0.24426499009132385,-1.8653950691223145
ACC,291,9.639349937438965,1.2378400564193726,1.3240339756011963
GYR,292,-5.7603349685668945,-0.27926501631736755,-2.0053951740264893
ACC,310,9.598648071289062,1.2043201923370361,1.3599480390548706
GYR,310,-5.5153350830078125,-1.0142650604248047,-2.0403950214385986
ACC,310,9.598648071289062,1.2043201923370361,1.3599480390548706
GYR,311,-5.5153350830078125,-1.0142650604248047,-2.0403950214385986
ACC,325,9.579493522644043,1.1995316743850708,1.3383996486663818
GYR,325,-5.30533504486084,-0.8042649626731873,-1.8653950691223145
ACC,329,9.622590065002441,1.228263020515442,1.3048797845840454
GYR,329,-5.165335178375244,-0.5592650175094604,-1.480394959449768
ACC,341,9.672870635986328,1.3120626211166382,1.2665714025497437
GYR,342,-5.2703351974487305,-1.119265079498291,-1.3753949403762817
ACC,358,9.641744613647461,1.3096683025360107,1.3743137121200562
GYR,358,-5.30533504486084,-2.799265146255493,-2.075395107269287
ACC,360,9.59385871887207,1.2450228929519653,1.503604531288147
GYR,361,-4.9553351402282715,-3.49926495552063,-2.145395040512085
ACC,375,9.584281921386719,1.2593885660171509,1.5562785863876343
GYR,375,-4.185335159301758,-3.3242650032043457,-1.8653950691223145
ACC,379,9.56273365020752,1.240234375,1.611346960067749
GYR,379,-3.170335292816162,-2.4492650032043457,-1.7603950500488281
ACC,391,9.536396980285645,1.2450228929519653,1.58022141456604
GYR,392,-2.225335121154785,-1.2592650651931763,-1.3403949737548828
ACC,408,9.531607627868652,1.252205729484558,1.4796618223190308
GYR,409,-1.455335021018982,-0.3492650091648102,-0.8853950500488281
ACC,409,9.560338973999023,1.2617827653884888,1.331216812133789
GYR,410,-0.9303350448608398,-0.1042650043964386,-0.32539498805999756
ACC,426,9.605830192565918,1.271359920501709,1.2569942474365234
GYR,426,-0.9303350448608398,-0.034265000373125076,0.05960499867796898
ACC,431,9.639349937438965,1.2809370756149292,1.223474383354187
GYR,432,-1.2103350162506104,-0.839264988899231,0.1646050065755844
ACC,443,9.706390380859375,1.3072741031646729,1.211503028869629
GYR,443,-1.3503350019454956,-2.379265069961548,0.1646050065755844
ACC,458,9.730332374572754,1.319245457649231,1.209108829498291
GYR,458,-1.3503350019454956,-3.2892649173736572,-0.150395005941391
ACC,459,9.656110763549805,1.2641770839691162,1.2546000480651855
GYR,460,-2.050334930419922,-2.4142651557922363,-0.7103950381278992
ACC,475,9.639349937438965,1.2354458570480347,1.3671308755874634
GYR,475,-2.435335159301758,-1.4342650175094604,-0.4653950035572052
ACC,491,9.694418907165527,1.2546000480651855,1.3599480390548706
GYR,492,-1.4903349876403809,-0.034265000373125076,0.1646050065755844
ACC,492,9.694418907165527,1.2546000480651855,1.3599480390548706
GYR,492,-1.4903349876403809,-0.034265000373125076,0.1646050065755844
ACC,509,9.703995704650879,1.2761484384536743,1.319245457649231
GYR,510,-1.2453351020812988,-0.5592650175094604,-0.6753950119018555
ACC,510,9.703995704650879,1.2761484384536743,1.319245457649231
GYR,510,-1.2453351020812988,-0.5592650175094604,-0.6753950119018555
ACC,525,9.644139289855957,1.2569942474365234,1.398256540298462
GYR,526,-1.2453351020812988,-1.5742650032043457,-0.9553950428962708
ACC,531,9.61061954498291,1.2162915468215942,1.453324794769287
GYR,534,-0.6503349542617798,-2.4492650032043457,-1.0253949165344238
ACC,550,9.59146499633789,1.2186858654022217,1.4652961492538452
GYR,554,1.484665036201477,-3.7792649269104004,-0.7453950047492981
ACC,556,9.574705123901367,1.228263020515442,1.4054392576217651
GYR,557,1.484665036201477,-3.7792649269104004,-0.7453950047492981
ACC,568,9.519637107849121,1.2498114109039307,1.2546000480651855
GYR,570,2.394665002822876,-3.184264898300171,-0.6053950786590576
ACC,572,9.557945251464844,1.3072741031646729,1.1061549186706543
GYR,573,2.2546651363372803,-1.2942650318145752,-0.29039499163627625
ACC,581,9.538790702819824,1.3264282941818237,0.9720755815505981
GYR,583,1.3796650171279907,-0.17426499724388123,-0.2553950250148773
ACC,598,9.488511085510254,1.2976969480514526,0.9409499764442444
