ACC_or_GYR,milisecond,x,y,z
GYR,38,-1.8753349781036377,-0.24426499009132385,0.1296049952507019
GYR,63,-1.8753349781036377,-0.24426499009132385,0.1296049952507019
ACC,64,9.857229232788086,0.04788549616932869,-0.4070267081260681
GYR,64,-2.540335178375244,0.14073500037193298,0.23460499942302704
ACC,65,9.636956214904785,-0.13168510794639587,-0.2130904644727707
GYR,65,-2.540335178375244,0.14073500037193298,0.23460499942302704
ACC,65,9.636956214904785,-0.13168510794639587,-0.2130904644727707
GYR,66,-2.540335178375244,0.14073500037193298,0.23460499942302704
ACC,66,9.636956214904785,-0.13168510794639587,-0.2130904644727707
ACC,68,9.766246795654297,-0.06225114315748215,-0.1364736706018448
GYR,69,-1.8053351640701294,-0.1392650157213211,1.2146049737930298
ACC,80,9.845257759094238,-0.011971374042332172,-0.1484450399875641
GYR,80,-1.2803350687026978,0.35073497891426086,1.2146049737930298
ACC,89,9.878777503967285,-0.03591412305831909,-0.2298503816127777
GYR,89,-1.1403350830078125,0.8057349920272827,0.8996050953865051
ACC,99,9.883566856384277,-0.08140534162521362,-0.30407288670539856
GYR,99,-1.5603349208831787,0.5607349872589111,0.6896050572395325
ACC,109,9.92426872253418,-0.07182824611663818,-0.282524436712265
GYR,109,-2.4003350734710693,-0.034265000373125076,0.30460497736930847
ACC,119,9.955394744873047,-0.11971373856067657,-0.18675343692302704
GYR,119,-3.1353352069854736,-0.6992650032043457,-0.08039500564336777
ACC,129,9.933846473693848,-0.16999350488185883,-0.1005595400929451
GYR,129,-3.240334987640381,-1.3292649984359741,-0.5703950524330139
ACC,140,9.890748977661133,-0.16999350488185883,0.023942748084664345
GYR,141,-2.5053350925445557,-1.6442649364471436,-0.920395016670227
ACC,156,9.828497886657715,-0.14605076611042023,0.04549122229218483
GYR,157,-1.2103350162506104,-1.5742650032043457,-1.2353949546813965
ACC,159,9.749486923217773,-0.09816526621580124,-0.0023942748084664345
GYR,160,0.29466500878334045,-1.119265079498291,-1.4103950262069702
ACC,174,9.675264358520508,-0.04788549616932869,-0.10774236917495728
GYR,174,1.764665126800537,-0.24426499009132385,-1.270395040512085
ACC,179,9.589070320129395,0.011971374042332172,-0.21069619059562683
GYR,179,1.5196651220321655,0.0007350000087171793,-1.165394902229309
ACC,190,9.51245403289795,0.021548472344875336,-0.2944957911968231
GYR,190,0.3646650016307831,-0.24426499009132385,-0.9553950428962708
ACC,206,9.526819229125977,0.023942748084664345,-0.26815879344940186
GYR,207,-1.1753350496292114,-0.839264988899231,-0.4303950071334839
ACC,209,9.579493522644043,0.011971374042332172,-0.1771763414144516
GYR,209,-2.470335006713867,-1.2942650318145752,-0.150395005941391
ACC,225,9.658504486083984,-0.07422251999378204,-0.011971374042332172
GYR,225,-3.170335292816162,-1.5042650699615479,-0.11539500951766968
ACC,228,9.68484115600586,-0.12210801243782043,0.12689656019210815
GYR,229,-2.8903350830078125,-1.1892650127410889,0.19960500299930573
ACC,241,9.687235832214355,-0.1412622183561325,0.14605076611042023
GYR,241,-1.6653350591659546,-0.6292650103569031,0.5846050381660461
ACC,257,9.725543975830078,-0.11013664305210114,0.06943397223949432
GYR,258,-0.23033501207828522,0.03573499992489815,1.0046050548553467
ACC,262,9.744698524475098,-0.11492519080638885,-0.011971374042332172
GYR,263,0.8546650409698486,0.38573500514030457,1.0396050214767456
ACC,274,9.720755577087402,-0.0885881707072258,-0.06464541703462601
GYR,274,1.2046650648117065,0.2807350158691406,1.0396050214767456
ACC,279,9.818921089172363,-0.04070267081260681,-0.13168510794639587
GYR,279,0.9596649408340454,-0.979265034198761,0.9346051216125488
ACC,290,9.869200706481934,-0.06943397223949432,-0.09577099233865738
GYR,290,0.1196649968624115,-1.469265103340149,0.5496050119400024
ACC,307,9.857229232788086,-0.10295381397008896,-0.016759924590587616
GYR,307,-0.26533499360084534,-1.15426504611969,0.19960500299930573
ACC,309,9.85244083404541,-0.13168510794639587,0.016759924590587616
GYR,309,0.32966500520706177,-0.5942649841308594,0.3396050035953522
ACC,324,9.883566856384277,-0.11971373856067657,-0.05506832152605057
GYR,324,1.169664978981018,-0.20926500856876373,0.6546050310134888
ACC,329,9.92426872253418,-0.05746259540319443,-0.112530916929245
GYR,329,1.9396650791168213,0.2107350081205368,0.5496050119400024
ACC,341,9.909903526306152,0,-0.15802213549613953
GYR,341,2.4296650886535645,0.14073500037193298,0.05960499867796898
ACC,357,9.850046157836914,-0.011971374042332172,-0.23942747712135315
GYR,357,2.6746649742126465,0.31573498249053955,-0.36039501428604126
ACC,359,9.778218269348145,-0.0023942748084664345,-0.2849186956882477
GYR,360,2.639665126800537,0.4557349979877472,-0.29039499163627625
ACC,374,9.771035194396973,0.023942748084664345,-0.2897072434425354
