ACC_or_GYR,milisecond,x,y,z
GYR,63,0.8896650075912476,0.6657349467277527,-0.22039499878883362
ACC,64,9.811738014221191,0.39984390139579773,0.8739103078842163
GYR,65,-4.465335369110107,3.115734815597534,0.829604983329773
ACC,65,9.811738014221191,0.39984390139579773,0.8739103078842163
GYR,65,-4.465335369110107,3.115734815597534,0.829604983329773
ACC,66,9.811738014221191,0.39984390139579773,0.8739103078842163
GYR,66,-4.465335369110107,3.115734815597534,0.829604983329773
ACC,66,9.811738014221191,0.39984390139579773,0.8739103078842163
ACC,66,9.811738014221191,0.39984390139579773,0.8739103078842163
GYR,66,-4.465335369110107,3.115734815597534,0.829604983329773
ACC,73,9.854835510253906,0.3782954216003418,0.9265843629837036
GYR,73,-4.745335578918457,2.380734920501709,-0.22039499878883362
ACC,83,9.706390380859375,0.28731298446655273,0.991229772567749
GYR,84,-4.850335121154785,1.6807351112365723,-2.0053951740264893
ACC,93,9.598648071289062,0.16999350488185883,1.1061549186706543
GYR,93,-4.43033504486084,-0.5592650175094604,-2.8103952407836914
ACC,103,9.61061954498291,0.12689656019210815,1.240234375
GYR,103,-3.5203349590301514,-2.729264974594116,-2.460395097732544
ACC,113,9.692024230957031,0.11013664305210114,1.2857255935668945
GYR,114,-1.8053351640701294,-3.6042652130126953,-1.2353949546813965
ACC,125,9.75427532196045,0.112530916929245,1.331216812133789
GYR,125,-1.2803350687026978,-2.3442649841308594,-0.4653950035572052
ACC,134,9.806949615478516,0.10774236917495728,1.2976969480514526
GYR,135,-0.6853349804878235,-0.4892650246620178,0.23460499942302704
ACC,148,9.881172180175781,0.13407939672470093,1.2665714025497437
GYR,149,-0.1953350007534027,0.6307350397109985,0.5846050381660461
ACC,153,9.931451797485352,0.13407939672470093,1.2210801839828491
GYR,153,0.32966500520706177,0.6307350397109985,0.3396050035953522
ACC,167,9.97215461730957,0.1652049571275711,1.1851660013198853
GYR,167,1.169664978981018,-0.3842650055885315,-0.5703950524330139
ACC,182,9.955394744873047,0.20830190181732178,1.1516461372375488
GYR,183,2.0446650981903076,-1.5392650365829468,-1.6903949975967407
ACC,184,9.840469360351562,0.19633053243160248,1.132491946220398
GYR,184,2.5696651935577393,-2.484265089035034,-2.950395107269287
ACC,200,9.71357250213623,0.19872480630874634,1.0750293731689453
GYR,200,2.7446649074554443,-3.0092649459838867,-3.895395278930664
ACC,203,9.574705123901367,0.16999350488185883,1.07024085521698
GYR,203,2.5696651935577393,-2.9742650985717773,-4.03539514541626
ACC,217,9.51245403289795,0.1891477108001709,1.0582695007324219
GYR,217,2.1146650314331055,-2.3442649841308594,-3.3003950119018555
ACC,233,9.601041793823242,0.30407288670539856,1.0582695007324219
GYR,234,1.6246650218963623,-0.3842650055885315,-1.3403949737548828
ACC,234,9.601041793823242,0.30407288670539856,1.0582695007324219
GYR,234,1.6246650218963623,-0.3842650055885315,-1.3403949737548828
ACC,249,9.569916725158691,0.28731298446655273,1.0055954456329346
GYR,250,1.3446650505065918,0.14073500037193298,-1.3053950071334839
ACC,253,9.545973777770996,0.25139886140823364,0.9744698405265808
GYR,253,0.6096649765968323,0.14073500037193298,-1.1303950548171997
ACC,265,9.54118537902832,0.23224465548992157,1.0247496366500854
GYR,266,0.049665000289678574,-0.31426501274108887,-0.6403949856758118
ACC,282,9.636956214904785,0.23942747712135315,1.0367209911346436
