ACC_or_GYR,milisecond,x,y,z
ACC,23,9.948211669921875,0.7877163887023926,1.5658557415008545
ACC,36,9.948211669921875,0.7877163887023926,1.5658557415008545
ACC,43,9.948211669921875,0.7877163887023926,1.5658557415008545
ACC,53,9.241900444030762,0.6847625970840454,1.8268316984176636
ACC,63,9.105426788330078,0.6799740195274353,1.6496553421020508
ACC,73,9.01205062866211,0.6727912425994873,1.6185297966003418
ACC,83,9.052753448486328,0.7110996246337891,1.7981003522872925
ACC,93,9.138946533203125,0.7494080066680908,1.9920365810394287
ACC,107,9.177255630493164,0.7733507752418518,2.08062481880188
ACC,113,9.174860954284668,0.6823683381080627,2.0351336002349854
ACC,124,9.225140571594238,0.5027977228164673,1.441353440284729
ACC,141,9.153312683105469,0.7470137476921082,1.8340145349502563
ACC,143,9.244295120239258,0.8427847623825073,2.011190891265869
ACC,158,9.287391662597656,0.8595446348190308,2.0830190181732178
ACC,174,9.598648071289062,0.8882759809494019,1.7550034523010254
ACC,174,9.598648071289062,0.8882759809494019,1.7550034523010254
ACC,190,9.438231468200684,0.9098244309425354,1.951333999633789
ACC,192,9.392740249633789,0.7733507752418518,2.0686533451080322
ACC,208,9.33288288116455,0.6392713785171509,2.2123098373413086
ACC,213,9.354432106018066,0.5482889413833618,2.231464147567749
ACC,224,9.481328010559082,0.5770202279090881,2.293715238571167
ACC,240,9.608224868774414,0.6344828009605408,2.3320236206054688
ACC,243,9.737515449523926,0.6632141470909119,2.4373717308044434
ACC,257,9.799766540527344,0.6632141470909119,2.475680112838745
ACC,263,9.80455493927002,0.6392713785171509,2.5020172595977783
ACC,274,9.756669998168945,0.6392713785171509,2.5259599685668945
ACC,291,9.699207305908203,0.6416656374931335,2.542719841003418
GYR,291,0.32966500520706177,-4.409265041351318,1.354604959487915
ACC,293,9.668081283569336,0.6201171875,2.4900457859039307
GYR,293,1.1346650123596191,-3.044264793395996,1.5296050310134888
ACC,308,9.672870635986328,0.6153286099433899,2.355966329574585
GYR,308,1.9396650791168213,-1.5742650032043457,2.124605178833008
ACC,313,9.696812629699707,0.6464542150497437,2.2482240200042725
GYR,313,2.6046650409698486,-0.31426501274108887,2.859605073928833
ACC,324,9.766246795654297,0.6799740195274353,2.0973846912384033
GYR,325,2.884665012359619,0.8407350182533264,3.2096052169799805
ACC,341,9.826104164123535,0.7206767201423645,2.011190891265869
GYR,341,2.464665174484253,0.9807350039482117,2.929605007171631
ACC,344,9.842864036560059,0.7781392931938171,1.9944308996200562
GYR,345,1.6596649885177612,0.07073500007390976,1.914604902267456
ACC,358,9.799766540527344,0.7733507752418518,2.0878076553344727
GYR,358,1.169664978981018,-1.15426504611969,0.7246050238609314
ACC,362,9.7016019821167,0.7230709791183472,2.111750364303589
GYR,363,1.4146651029586792,-1.7842650413513184,-0.36039501428604126
ACC,374,9.634561538696289,0.6727912425994873,2.073441982269287
GYR,375,2.1146650314331055,-2.30926513671875,-0.8503950238227844
ACC,391,9.615407943725586,0.6632141470909119,2.044710636138916
GYR,391,2.9896650314331055,-2.869264841079712,-0.6403949856758118
ACC,393,9.639349937438965,0.7039167881011963,2.0399222373962402
GYR,393,3.3046650886535645,-2.6592650413513184,-0.3953950107097626
ACC,407,9.634561538696289,0.6943396925926208,1.9872480630874634
GYR,408,3.6196651458740234,-1.3292649984359741,-0.1853950172662735
ACC,425,9.68244743347168,0.7039167881011963,1.7765519618988037
GYR,425,2.219665050506592,1.8557350635528564,0.3396050035953522
ACC,425,9.68244743347168,0.7039167881011963,1.7765519618988037
GYR,426,2.219665050506592,1.8557350635528564,0.3396050035953522
ACC,441,9.656110763549805,0.6919454336166382,1.7550034523010254
GYR,442,1.0646650791168213,1.8207350969314575,0.3396050035953522
ACC,443,9.651321411132812,0.6536370515823364,1.7861289978027344
GYR,443,0.22466501593589783,0.9107349514961243,0.09460499882698059
ACC,458,9.653716087341309,0.6656084060668945,1.8340145349502563
GYR,458,-0.09033500403165817,-0.20926500856876373,-0.150395005941391
ACC,474,9.66089916229248,0.6680026650428772,2.0231621265411377
GYR,475,0.8196650147438049,-2.5892648696899414,-1.200395107269287
ACC,475,9.66089916229248,0.6680026650428772,2.0231621265411377
GYR,475,0.8196650147438049,-2.5892648696899414,-1.200395107269287
ACC,491,9.639349937438965,0.6177229285240173,2.018373727798462
GYR,491,1.5546650886535645,-2.9742650985717773,-1.7253950834274292
ACC,492,9.636956214904785,0.6296942830085754,1.9465453624725342
GYR,493,2.5696651935577393,-1.924264907836914,-1.6203950643539429
ACC,513,9.589070320129395,0.6608198285102844,1.8675343990325928
GYR,515,1.9396650791168213,0.6307350397109985,-1.270395040512085
ACC,516,9.529213905334473,0.699128270149231,1.7909175157546997
GYR,516,1.9396650791168213,0.6307350397109985,-1.270395040512085
ACC,545,9.40231704711914,0.7206767201423645,1.7286664247512817
GYR,546,-1.4203349351882935,1.2957350015640259,-1.1303950548171997
ACC,547,9.40231704711914,0.7206767201423645,1.7286664247512817
GYR,548,-1.4203349351882935,1.2957350015640259,-1.1303950548171997
ACC,548,9.40231704711914,0.7206767201423645,1.7286664247512817
GYR,548,-1.4203349351882935,1.2957350015640259,-1.1303950548171997
ACC,555,9.383162498474121,0.6871568560600281,1.7597919702529907
GYR,557,-1.8753349781036377,0.770734965801239,-1.200395107269287
ACC,565,9.445414543151855,0.6440598964691162,1.7669748067855835
GYR,566,-1.9103349447250366,-0.5242649912834167,-0.9903950691223145
ACC,583,9.5220308303833,0.6943396925926208,1.7454262971878052
GYR,586,-2.295335054397583,-2.8342652320861816,-0.920395016670227
ACC,588,9.59385871887207,0.7541965842247009,1.7861289978027344
GYR,589,-2.295335054397583,-2.8342652320861816,-0.920395016670227
ACC,599,9.624984741210938,0.7541965842247009,1.8364087343215942
GYR,600,-2.925335168838501,-2.4492650032043457,-1.4103950262069702
ACC,605,9.56273365020752,0.699128270149231,1.891477108001709
GYR,606,-3.800335168838501,-0.4892650246620178,-1.9353950023651123
ACC,614,9.534002304077148,0.6584255695343018,1.848380208015442
GYR,615,-4.535335540771484,1.0507349967956543,-1.900395154953003
ACC,631,9.579493522644043,0.6727912425994873,1.7597919702529907
GYR,633,-5.165335178375244,1.9607352018356323,-1.6903949975967407
ACC,635,9.569916725158691,0.706311047077179,1.75021493434906
GYR,637,-6.18033504486084,2.4157350063323975,-1.9353950023651123
ACC,646,9.605830192565918,0.7326480746269226,1.7909175157546997
GYR,647,-7.510335445404053,2.310734987258911,-2.4253947734832764
ACC,663,9.59146499633789,0.6799740195274353,1.8842942714691162
GYR,665,-8.80533504486084,0.945734977722168,-3.3003950119018555
ACC,666,9.577098846435547,0.6584255695343018,1.97048819065094
GYR,666,-8.80533504486084,0.945734977722168,-3.3003950119018555
ACC,680,9.545973777770996,0.6344828009605408,1.9968252182006836
GYR,682,-8.525335311889648,1.225735068321228,-3.1603949069976807
ACC,684,9.545973777770996,0.6775797605514526,1.9154198169708252
GYR,689,-8.420334815979004,1.8907349109649658,-2.8103952407836914
ACC,698,9.567522048950195,0.7398309111595154,1.80049467086792
GYR,699,-8.945335388183594,2.310734987258911,-2.390395164489746
ACC,715,9.680052757263184,0.8308133482933044,1.4940274953842163
GYR,716,-12.130335807800293,2.135735034942627,-3.265394926071167
ACC,717,9.680052757263184,0.8308133482933044,1.4940274953842163
GYR,717,-12.130335807800293,2.135735034942627,-3.265394926071167
ACC,730,9.617801666259766,0.8523618578910828,1.453324794769287
GYR,732,-14.335334777832031,1.540735125541687,-4.105395317077637
ACC,734,9.608224868774414,0.8356019258499146,1.472478985786438
GYR,737,-16.750335693359375,0.4207350015640259,-4.700395107269287
ACC,747,9.574705123901367,0.7589851021766663,1.3767080307006836
GYR,748,-19.165334701538086,-0.5942649841308594,-5.155395030975342
ACC,764,9.584281921386719,0.79011070728302,1.3048797845840454
GYR,765,-25.500335693359375,0.38573500514030457,-4.560395240783691
ACC,767,9.54118537902832,0.8882759809494019,1.2498114109039307
GYR,767,-25.500335693359375,0.38573500514030457,-4.560395240783691
ACC,780,9.54118537902832,0.8667274713516235,1.132491946220398
GYR,781,-29.875335693359375,2.5557351112365723,-4.455395221710205
ACC,786,9.567522048950195,0.8547561168670654,0.8188419938087463
GYR,798,-40.760337829589844,2.765735149383545,-3.335395097732544
ACC,799,9.397528648376465,0.8164477348327637,0.6703969240188599
GYR,799,-40.760337829589844,2.765735149383545,-3.335395097732544
ACC,816,9.433443069458008,0.6632141470909119,0.8379961848258972
GYR,818,-53.57033920288086,6.125735282897949,-1.4103950262069702
ACC,818,9.433443069458008,0.6632141470909119,0.8379961848258972
GYR,819,-53.57033920288086,6.125735282897949,-1.4103950262069702
ACC,833,9.474145889282227,0.706311047077179,1.2378400564193726
GYR,834,-66.38033294677734,6.68573522567749,-0.36039501428604126
ACC,836,9.586676597595215,0.6584255695343018,1.3240339756011963
GYR,837,-66.38033294677734,6.68573522567749,-0.36039501428604126
ACC,853,9.790189743041992,0.6703969240188599,1.2138973474502563
GYR,856,-73.17033386230469,9.835734367370605,-1.5503950119018555
ACC,857,9.761458396911621,0.7709565162658691,1.2354458570480347
GYR,858,-73.17033386230469,9.835734367370605,-1.5503950119018555
ACC,866,9.66089916229248,0.7326480746269226,1.2210801839828491
GYR,868,-77.33533477783203,13.230735778808594,-2.8103952407836914
ACC,884,9.56273365020752,0.6967339515686035,1.1708003282546997
GYR,886,-85.63033294677734,16.17073631286621,-3.3003950119018555
ACC,887,9.452596664428711,0.5794144868850708,1.35037100315094
GYR,888,-85.63033294677734,16.17073631286621,-3.3003950119018555
ACC,896,9.553156852722168,0.4668835997581482,1.4700847864151
GYR,897,-88.7453384399414,15.785735130310059,-3.1953952312469482
ACC,914,9.71117877960205,0.40942099690437317,1.4652961492538452
GYR,915,-91.93033599853516,12.845735549926758,-5.400395393371582
ACC,917,9.78061294555664,0.4189980924129486,1.5179702043533325
GYR,917,-91.93033599853516,12.845735549926758,-5.400395393371582
ACC,933,9.838075637817383,0.4668835997581482,1.4988160133361816
GYR,934,-97.04033660888672,11.550735473632812,-12.330395698547363
ACC,936,9.739910125732422,0.44054657220840454,1.3383996486663818
GYR,937,-97.04033660888672,11.550735473632812,-12.330395698547363
ACC,950,9.574705123901367,0.2849186956882477,1.4030450582504272
GYR,951,-99.63034057617188,8.68073558807373,-15.025395393371582
ACC,955,9.502876281738281,0.16281068325042725,1.5419130325317383
GYR,957,-101.41533660888672,4.725735187530518,-16.845394134521484
ACC,970,9.337671279907227,0,1.7286664247512817
GYR,973,-102.08033752441406,0.4207350015640259,-18.07039451599121
ACC,983,9.225140571594238,-0.19154198467731476,1.9656996726989746
GYR,984,-101.45033264160156,-4.479265213012695,-18.140396118164062
ACC,988,9.194015502929688,-0.3136500120162964,2.0902018547058105
GYR,991,-99.91033172607422,-11.37426471710205,-17.545394897460938
ACC,999,9.495694160461426,-0.2944957911968231,2.0327394008636475
GYR,1001,-97.91532897949219,-16.799264907836914,-16.180395126342773
ACC,1015,9.636956214904785,-0.07901106774806976,2.1165390014648438
GYR,1016,-95.7453384399414,-19.914264678955078,-15.935395240783691
ACC,1017,9.727938652038574,-0.03351984918117523,2.3032922744750977
GYR,1018,-95.7453384399414,-19.914264678955078,-15.935395240783691
ACC,1034,9.680052757263184,-0.28731298446655273,2.6504621505737305
GYR,1035,-97.4953384399414,-7.454265117645264,-17.580394744873047
ACC,1035,9.680052757263184,-0.28731298446655273,2.6504621505737305
GYR,1036,-97.4953384399414,-7.454265117645264,-17.580394744873047
ACC,1049,9.581888198852539,-0.4429408311843872,2.5331428050994873
GYR,1050,-99.00033569335938,6.2307353019714355,-15.865395545959473
ACC,1055,9.390345573425293,-0.5506832003593445,2.1883671283721924
GYR,1056,-99.52533721923828,12.425735473632812,-13.415395736694336
ACC,1066,9.100638389587402,-0.6440598964691162,1.2354458570480347
GYR,1067,-100.15534210205078,12.845735549926758,-10.75539493560791
ACC,1087,9.469356536865234,0.11971373856067657,1.6041641235351562
GYR,1089,-100.26033782958984,-10.884264945983887,-10.615394592285156
ACC,1089,9.469356536865234,0.11971373856067657,1.6041641235351562
GYR,1090,-100.26033782958984,-10.884264945983887,-10.615394592285156
ACC,1100,9.742303848266602,0.2011190801858902,2.353572130203247
GYR,1102,-102.88533782958984,-13.264265060424805,-13.240395545959473
ACC,1105,9.83328628540039,0.1364736706018448,2.9928436279296875
GYR,1114,-106.21033477783203,-7.4892659187316895,-16.42539405822754
ACC,1116,9.866806030273438,-0.08140534162521362,3.22029972076416
GYR,1117,-107.01534271240234,0.4207350015640259,-19.400394439697266
ACC,1133,9.340065956115723,-0.46927785873413086,3.2035396099090576
GYR,1134,-97.63533782958984,10.78073501586914,-17.790395736694336
ACC,1136,8.99289608001709,-0.67518550157547,3.1772027015686035
GYR,1138,-97.63533782958984,10.78073501586914,-17.790395736694336
ACC,1149,8.846845626831055,-0.7877163887023926,3.1221344470977783
GYR,1150,-89.79533386230469,11.550735473632812,-13.835395812988281
ACC,1165,9.347249031066895,-0.5387118458747864,3.129317283630371
GYR,1166,-69.18033599853516,-5.004265308380127,-7.150394916534424
ACC,1167,9.347249031066895,-0.5387118458747864,3.129317283630371
GYR,1167,-69.18033599853516,-5.004265308380127,-7.150394916534424
ACC,1180,9.888355255126953,-0.3064671754837036,3.009603500366211
GYR,1181,-61.62034225463867,-16.029266357421875,-8.095396041870117
ACC,1185,10.264256477355957,-0.06464541703462601,3.011997699737549
GYR,1187,-57.17533493041992,-23.55426597595215,-10.965394973754883
ACC,1199,10.292987823486328,-0.15083931386470795,3.105374336242676
GYR,1200,-56.68533706665039,-24.289264678955078,-15.305395126342773
ACC,1216,9.651321411132812,-0.797293484210968,3.435784339904785
GYR,1218,-63.02033996582031,-4.05926513671875,-17.685396194458008
ACC,1218,9.651321411132812,-0.797293484210968,3.435784339904785
GYR,1227,-62.1103401184082,5.075735092163086,-14.29039478302002
ACC,1234,9.229928970336914,-0.8356019258499146,3.7350687980651855
GYR,1235,-56.40533447265625,9.94073486328125,-9.110395431518555
ACC,1235,9.229928970336914,-0.8356019258499146,3.7350687980651855
GYR,1235,-56.40533447265625,9.94073486328125,-9.110395431518555
ACC,1246,9.37119197845459,-0.5482889413833618,3.838022470474243
GYR,1247,-47.34033966064453,9.94073486328125,-5.120395183563232
ACC,1264,9.608224868774414,-0.3208328187465668,3.409447431564331
GYR,1266,-23.08533477783203,-3.639265298843384,-5.260395050048828
ACC,1266,9.608224868774414,-0.3208328187465668,3.409447431564331
GYR,1266,-23.08533477783203,-3.639265298843384,-5.260395050048828
ACC,1283,9.656110763549805,-0.2705530524253845,3.292127847671509
GYR,1285,-16.26033592224121,-9.099265098571777,-5.75039529800415
ACC,1289,9.526819229125977,-0.40942099690437317,3.0814316272735596
GYR,1290,-16.26033592224121,-9.099265098571777,-5.75039529800415
ACC,1302,9.440625190734863,-0.36392977833747864,2.8060901165008545
GYR,1305,-19.375335693359375,-0.9442650079727173,-3.9303953647613525
ACC,1307,9.510059356689453,-0.24421602487564087,2.638490915298462
GYR,1309,-23.2253360748291,5.8457350730896,-3.265394926071167
ACC,1315,9.553156852722168,-0.2537931203842163,2.7725701332092285
GYR,1316,-26.305335998535156,8.435735702514648,-3.3003950119018555
ACC,1331,9.531607627868652,-0.3208328187465668,3.009603500366211
GYR,1333,-26.86533546447754,8.15573501586914,-3.5103952884674072
ACC,1334,9.510059356689453,-0.3423812985420227,3.342407703399658
GYR,1335,-24.10033416748047,7.140735149383545,-3.9303953647613525
ACC,1345,9.356825828552246,-0.35674694180488586,3.6345090866088867
GYR,1346,-18.95533561706543,5.950735092163086,-4.805395126342773
ACC,1364,9.103033065795898,-0.4716721475124359,3.8212625980377197
GYR,1365,-2.610335111618042,-2.9042651653289795,-5.155395030975342
ACC,1366,9.038387298583984,-0.5985686779022217,3.653663396835327
GYR,1366,-2.610335111618042,-2.9042651653289795,-5.155395030975342
ACC,1384,9.057541847229004,-0.48124924302101135,3.351984739303589
GYR,1385,17.304664611816406,-16.764263153076172,-0.3953950107097626
ACC,1385,9.057541847229004,-0.48124924302101135,3.351984739303589
GYR,1385,17.304664611816406,-16.764263153076172,-0.3953950107097626
ACC,1399,9.129369735717773,-0.43336373567581177,2.8611583709716797
GYR,1401,20.034664154052734,-13.474265098571777,1.669605016708374
ACC,1404,9.146129608154297,-0.33280420303344727,2.545114040374756
GYR,1406,19.369665145874023,-11.654265403747559,3.8396050930023193
ACC,1416,9.225140571594238,-0.2944957911968231,2.504411458969116
GYR,1417,16.569665908813477,-10.289265632629395,5.4496049880981445
ACC,1438,9.474145889282227,-0.25858166813850403,2.9281980991363525
GYR,1439,14.539664268493652,-6.999265193939209,6.674605369567871
ACC,1439,9.474145889282227,-0.25858166813850403,2.9281980991363525
GYR,1440,14.539664268493652,-6.999265193939209,6.674605369567871
ACC,1447,9.545973777770996,-0.18675343692302704,3.0622775554656982
GYR,1448,16.88466453552246,-5.424265384674072,6.499605178833008
ACC,1465,9.658504486083984,-0.26337021589279175,2.918621063232422
GYR,1467,24.16466522216797,-4.024264812469482,5.414605140686035
ACC,1467,9.658504486083984,-0.26337021589279175,2.918621063232422
GYR,1467,24.16466522216797,-4.024264812469482,5.414605140686035
ACC,1483,9.608224868774414,-0.2729473412036896,2.906649589538574
GYR,1484,27.279664993286133,-3.7092652320861816,4.924604892730713
ACC,1487,9.545973777770996,-0.29928433895111084,3.0263633728027344
GYR,1489,30.639665603637695,-1.1892650127410889,5.2746052742004395
ACC,1503,9.414288520812988,-0.31125572323799133,3.1748085021972656
GYR,1505,38.58466339111328,3.0457351207733154,8.249605178833008
ACC,1507,9.150918006896973,-0.42378664016723633,3.5171897411346436
GYR,1507,38.58466339111328,3.0457351207733154,8.249605178833008
ACC,1516,8.906702041625977,-0.47646069526672363,3.66084623336792
GYR,1518,46.949668884277344,1.9257348775863647,10.314604759216309
ACC,1532,8.956981658935547,-0.5387118458747864,3.6369035243988037
GYR,1533,57.48466873168945,-3.49926495552063,11.749605178833008
ACC,1535,8.92106819152832,-0.5195576548576355,3.2394537925720215
GYR,1537,67.70466613769531,-10.009264945983887,13.39460563659668
ACC,1560,9.375980377197266,-0.23942747712135315,2.449343204498291
GYR,1562,78.55467224121094,-15.679265975952148,15.774605751037598
ACC,1563,9.375980377197266,-0.23942747712135315,2.449343204498291
GYR,1564,78.1346664428711,-11.794264793395996,16.194604873657227
ACC,1565,9.715967178344727,-0.22745610773563385,1.7238779067993164
GYR,1566,78.1346664428711,-11.794264793395996,16.194604873657227
ACC,1578,9.773429870605469,-0.16999350488185883,1.3886793851852417
GYR,1579,74.38966369628906,-5.3892645835876465,15.249605178833008
ACC,1587,10.101445198059082,-0.0023942748084664345,1.58022141456604
GYR,1590,68.15966796875,1.1907349824905396,13.009604454040527
ACC,1600,10.11102294921875,0.22506183385849,2.1261160373687744
GYR,1603,61.999664306640625,3.255734920501709,6.499605178833008
ACC,1616,10.192427635192871,-0.07901106774806976,3.723097324371338
